review,score,review_length,cleaned_review
"Continually locks up my smart TV!!!: Aeron from the Philippines was amazing!! He deserves a raise!!. I’m kinda a dumb blonde, lmao really just ditsy. 😅He was so patient and helped me understand how to manage my devices and walked me through my problem so easily. He was truly great and I appreciate that. English is his second language yet he was able to understand me and I was able to understand him so perfectly. I thank you again Aeron. You’re awesome! God bless!",1,467,continually lock smart tv Aeron Philippines amazing deserve raise m kinda dumb blonde lmao ditsy patient help understand manage device walk problem easily truly great appreciate English second language able understand able understand perfectly thank Aeron awesome God bless
"Tired of subtitles: Used to love Netflix but recently it’s cheap production from other non English countries and there is nothing to watch , probably it’s costs cutting, will cancel today",2,187,tired subtitle love Netflix recently cheap production non english country watch   probably cost cut cancel today
"Netflix is a waste of money 💰 they…: One star. Why? Because of the sound in the movies!!! Screamers, soundtracks, or special effects are much louder than the sound of dialog. As a result, you either read the dialogues by lips or go deaf from the screamers. It's impossible to set up a balanced sound",1,299,Netflix waste money   star sound movie Screamers soundtrack special effect loud sound dialog result read dialogue lip deaf screamer impossible set balanced sound
"I keep getting a refund nearly every…: Netflix's sound is just absolutely HORRIBLE! Watching a movie or a show is exercising. When the actors speak, you can't hear anything, you have to stand up and turn up the sound. Immediately after that, music plays or someone screams - and voila - you turn the volume down again because the scream is unrealistic from the speakers! Why can't you balance the sound of music and the sound of voice? The dubbing of movies in other languages is even worse than the original - the sound is just incredibly terrible and you keep running to the computer to turn it down, and then you run around the second circle to turn it up to hear at least a word.",3,683,get refund nearly Netflixs sound absolutely horrible watch movie exercise actor speak not hear stand turn sound immediately music play scream   voila   turn volume scream unrealistic speaker not balance sound music sound voice dubbing movie language bad original   sound incredibly terrible run computer turn run second circle turn hear word
"Resolution drops when price goes up: I do enjoy Netflix. Don't enjoy the price upping or profile sharing going bye bye. The thing they need to fix is thier choices of movies. Instead of putting the titles on in order 1-2-3 on at the same time. They are putting randoms on. Example, my son wants to see (the mask) but only the son of the mask is on booo",1,352,resolution drop price go enjoy Netflix not enjoy price upping profile sharing go bye bye thing need fix thi choice movie instead put title order 123 time put random Example son want mask son mask booo
I enjoy the movies: It's getting worse and worse packed out with foreign movies. Not many new English ones are put on. Will be cancelling soon. Fed up of scrolling through trying to find a recent decent English speaking movie. It's a joke!,4,239,enjoy movie get bad worse pack foreign movie new english one cancel soon Fed scroll try find recent decent English speaking movie joke
Wish I could leave 0 stars: It is now Boring ++ They gave Harry and Megan a ton of money ( Ours) for total RUBBISH. Have now cancelled,1,134,wish leave 0 star Boring   give Harry Megan ton money   total rubbish cancel
"Unauthorised Payment: Loving the variety of world wide content, that I would not normally get with terrestial TV in the UK. Have watched Spanish, French, Belguim, Mexican series that have been world class. The dubbing is so good its hard to realise it is dubbed",1,261,Unauthorised Payment Loving variety world wide content normally terrestial tv UK watch spanish French Belguim mexican series world class dubbing good hard realise dub
If I could give zero stars I would: Despite paying so much for netflix they still throw advertising In your face.  They interrupt your viewing asking your if your still watching 👀  They have too much control  The subscriptions expensive,1,236,zero star despite pay netflix throw advertising face   interrupt viewing ask watch    control   subscription expensive
"Charged for a cancelled service: Just read Greenberg at front office sports, we have enough sport related streamers, just adds cost to my subscription, the networks greedy costs would double my cost, with fixed income, eliminating my enjoyment of Netflix, DON'T GIVE INTO ALL THE SPORT NUTS WHO HAVE PLENTY Watch!!!",1,315,charge cancel service read Greenberg office sport sport relate streamer add cost subscription network greedy cost double cost fix income eliminate enjoyment netflix dont SPORT NUTS PLENTY Watch
Terrible: Full of filth. Unsubscribe,1,36,terrible filth Unsubscribe
"Netflix allowed my account to be hacked.: My family (kids) watch a lot of Netflix however, a couple of things have caused concern recently - 1. The monthly price has shot up whilst the content has deteriorated and the availability to watch on more than one device is now a 'premium' product. All done very sneakily. 2. A supposed survey sent by e-mail was not a survey - they asked nothing about Netflix - only wanting to collect personal info on my household. Not a very clever way to go about it Netflix and I'll just delete any future 'surveys' from you. They sign off their e-mails ""from your friends at Netflix"" - well if your my friend, stop treating me like a commodity / cash cow and start treating me like a loyal customer.",1,732,Netflix allow account hack family kid watch lot Netflix couple thing cause concern recently   1 monthly price shoot whilst content deteriorate availability watch device premium product sneakily 2 suppose survey send email survey   ask Netflix   want collect personal info household clever way Netflix Ill delete future survey sign email friend Netflix   friend stop treat like commodity   cash cow start treat like loyal customer
"price going up AGAIN: Acting to the detriment of users with the goal of making more money. Greedy crooks doing everything to milk more money from consumers. I hope that this company goes bankrupt and that better streaming platforms take over the baton, and netflix goes away for how they treat the consumer.",2,307,price go act detriment user goal make money Greedy crook milk money consumer hope company go bankrupt well streaming platform baton netflix go away treat consumer
"Just had to Lower my subscription and…: Hello, I've been trying to get my Netflix account fixed for nearly 2 months and nothing has happened. Apparently the matter has been 'escalated' but every time I 'chat' with an operative I have to explain the whole matter again and I'm just going around in circles. I've tried to complain to customer services but in all honesty I think I am just getting standard, pre-written, nothing to do with me, e-mails back. They are a total disgrace.",1,481,lower subscription hello ve try Netflix account fix nearly 2 month happen apparently matter escalate time chat operative explain matter m go circle ve try complain customer service honesty think get standard prewritten email total disgrace
"ability to watch with subtitles, in different languages, no ads, lots of content: The recent VPN block is a deal breaker for me, unless they undo it I won't be using Netflix again.",4,180,ability watch subtitle different language ad lot content recent vpn block deal breaker undo will not Netflix
Tripe!: I like Netflix stories but why so n much bad language you can express yourself without bad language it’s all f this and f that no need,2,142,tripe like Netflix story n bad language express bad language f f need
Tricked by Netflix into getting me off basic plan: I got the best 👌 service staff was great sorted me out in mins 😀 well impressed with Netflix iam with Netflix  over ten years .and I only had to ring once ..and it was my fault not Netflix..good work team,1,255,trick Netflix get basic plan get good   service staff great sort min   impressed Netflix iam Netflix   year ring fault Netflixgood work team
"Poor customer service: There are so many terrible streaming apps around (ITVX and Britbox being the worst, as neither have ever worked properly), that it is always nice to use Netflix. The app is always stable and fast. Pretty faultless. I think the supply of new films seems to have slowed in recent months, but there is still a good selection. I place this ahead of Prime Video, Disney+, Apple TV and iPlayer.",1,411,poor customer service terrible stream app itvx Britbox bad work properly nice use Netflix app stable fast pretty faultless think supply new film slow recent month good selection place ahead Prime Video Disney Apple TV iPlayer
"Just had an email stating my plan is…: I have only given them one star, and that is because I had to. If I didn’t click on one star, it wouldn’t let me leave a review. In my opinion they deserve any stars. For three months since resetting my TV and losing my iPhone or rather having it stolen. I could not remember my email address or password so tried to cancel it. Can’t do it. Keep doing the online thing where it tells you to try and remember the address tried that didn’t work tried doing the card number. It says that account isn’t recognised even though it’s still taking money out of that account today even though it hasn’t been used for three months so today I finally get through to somebody. She was extremely rude kept calling me mam and laughing. I kept correcting her and telling her I was a sir and she kept laughing. She said there is absolutely nothing she can do without the right card number and the email address all my old phone number like I explained I don’t know what the number was it was over three months ago  I don’t know what the password because that was on the app on my phone. She said then you have to give me your account number which I did then she tells me but you don’t have an account with me ma’am again I correct her and she starts laughing. How come I have no account with them. Yeah every single month money is going out of my bank account to Netflix beware people these are scammers beware beware beware and I haven’t finished with them yet beware of Netflix scammers  they’ll take your money then leave your high and dry. As long as I get in the cash they don’t care about their customers and their staff rude staff should be fired.",1,1677,email state plan give star not click star not let leave review opinion deserve star month reset tv lose iPhone have steal remember email address password try cancel not online thing tell try remember address try not work try card number say account not recognise take money account today not month today finally somebody extremely rude keep call mam laugh keep correct tell sir keep laugh say absolutely right card number email address old phone number like explain not know number month ago   not know password app phone say account number tell not account maam correct start laugh come account yeah single month money go bank account Netflix beware people scammer beware beware beware not finish beware Netflix scammer   ll money leave high dry long cash not care customer staff rude staff fire
"1 star as I can’t give any lower…: I have been a Netflix client for over 10 years and today I tried to update my expired credit card but when I did it, this message appeared: ""There appears to be a problem with the payment method you are trying to use."" After this I tried several valid and working international credit cards without any restrictions but did not help. Netflix support asked me to contact my banks. I did this and banks told me that they do not see any transaction traffic from Netflix. Again I contacted Netflix support but they did not want to help me at all. I made some Internet searches and found that many other Netflix clients have also often this same problem. The problem is not in the clients' credit cards because banks do not see any transaction traffic from Netflix when this happens. Support does not want to understand this, they only want to close the chat.",1,889,1 star not low Netflix client 10 year today try update expire credit card message appear appear problem payment method try use try valid work international credit card restriction help Netflix support ask contact bank bank tell transaction traffic Netflix contact Netflix support want help internet search find Netflix client problem problem client credit card bank transaction traffic Netflix happen support want understand want close chat
Continually locks up my smart TV!!!: Most useless app in the world  Since last update I can't stay login if I have more the 1 Netflix account on the same wifi.tried to call customer service and was told it was not there problem. If this happens on all my devices when multiple accounts running then is the app. I will never use this app again. Good bye.,1,353,continually lock smart tv useless app world   update not stay login 1 Netflix account wifitrie customer service tell problem happen device multiple account run app use app good bye
"Tired of subtitles: Horrible! Too expensive, and when I called to cancel the service and remove my card on file, it took 20 minutes. They wanted my complete credit card number, which is absurd. They should have a place to remove cards online. I used to love Netflix, but they are greedy by the second.",2,301,tired subtitle horrible expensive call cancel service remove card file take 20 minute want complete credit card number absurd place remove card online love Netflix greedy second
Netflix is a waste of money 💰 they…: I Loved all the amazing shows but I gave 4 stars because I have watched all the good shows and it's tough to find d good shows that I haven't watched. There are two other reasons are the series barely have any episodes and the other is when are there new long series coming out like The Full house the Fuller House where is The Fullest house? Plus there are alot of episodes  in The Fuller house. It won't let go further than 2022,1,467,Netflix waste money   love amazing show give 4 star watch good show tough find d good show not watch reason series barely episode new long series come like house Fuller House full house plus alot episode   Fuller house will not let 2022
"I keep getting a refund nearly every…: It has great movies if you’re into gay porn. Don’t watch anything with your kids that is made by Netflix lol. All they seem to push is child sexuality, gay porn and slandering or mocking God. It just pisses me off that I can’t even sit down and watch a family movie without seeing someone’s d#%k or two dudes going down on each other. Netflix sucks and I am done with them. I boycotted them just like everyone else should do. 🍺",3,466,get refund nearly great movie gay porn not watch kid Netflix lol push child sexuality gay porn slander mock God piss not sit watch family movie see someone dk dude go Netflix suck boycott like
Resolution drops when price goes up: Wanted them to take my payment early the day it was due because have a lot of automatic payments come out of my account cold day in hell before they would do it.,1,198,resolution drop price go want payment early day lot automatic payment come account cold day hell
"I enjoy the movies: Netflix on roku freezes, kicks out while searching and in middle of programs, requires TV to be unplugged and re started , constantly and, Netflix has apparently no clue how to resolve issues",4,211,enjoy movie Netflix roku freeze kick search middle program require tv unplug start   constantly Netflix apparently clue resolve issue
"Wish I could leave 0 stars: After many years with Netflix, we are leaving on the 26th of Feb. Now very expensive, not many good things to watch anymore. They put a lot of dubbed movies on, which is clearly cost cutting, they don't want you to share passwords, the UK, get far less movies and series than other countries, the customer service is just awful, and they put the prices up for a service that hasn't got any better.  Netflix. You are going to end up with so few members that you will go bankrupt, if you are not close already. You are doing nothing to retain your members and it feels like you have pushed the self destruct button. You are now totally useless and not fit for purpose.",1,694,wish leave 0 star year Netflix leave 26th Feb expensive good thing watch anymore lot dub movie clearly cost cutting not want share password UK far movie series country customer service awful price service not get well   Netflix go end member bankrupt close retain member feel like push self destruct button totally useless fit purpose
Unauthorised Payment: You guys need to fix the issues with freezing up every time we search for a movie or try to play a movie! This problem has been going on way to long! You're the only streaming that does this. We're thinking strongly about canceling our service since you don't care enough about your customers to fix these issues.,1,335,Unauthorised Payment guy need fix issue freeze time search movie try play movie problem go way long streaming think strongly cancel service not care customer fix issue
If I could give zero stars I would: What a PATHETIC choice or movies/documentaries !!!!!!!! NOTHING worth spending time watching.  I hope you go bust!,1,150,zero star PATHETIC choice moviesdocumentarie   worth spending time watch   hope bust
Charged for a cancelled service: So I cancelled my subscription March 23..Feb 23 I get a new charge on my credit card Netflix decided it was ok to keep charging my account..I tried calling Netflix again asked to speak with a supervisor..the lady who could hardly speak English refused to let me speak to a supervisor..she then won't credit my account..and wants me to listen to a recording..and wants me to give her my credit card number..again..I hung up..called back yet another non English speaking man answers.. couldn't even understand this man after about a half hour..repeating my email address over and over he finally cancelled my account..but only after they charged me for another..month..scam artists!,1,713,charge cancel service cancel subscription March 23feb 23 new charge credit card Netflix decide ok charge accountI try call Netflix ask speak supervisorthe lady hardly speak English refuse let speak supervisorshe will not credit accountand want listen recordingand want credit card numberagainI hung upcalle non english speak man answer not understand man half hourrepeate email address finally cancel accountbut charge anothermonthscam artist
"Terrible: Just spoke with a customer service representative to ask if they could help me with payments, as I am now stuck at home on benefits now bcos of terminal illness, I have worked all my days paid my bills to be told they can do nothing for me.. I have had to cancel my account now not very helpful for anyone stuck at home all day every day due to no fault of their own. Thanks Netflix",1,392,terrible speak customer service representative ask help payment stick home benefit bcos terminal illness work day pay bill tell cancel account helpful stick home day day fault thank Netflix
Netflix allowed my account to be hacked.: Netflix is greedy AF they don't want you to share passwords with you're family but the content they provide isn't even worth the price they also cancel good shows everyone likes and they keep the ones people don't even watch to save money what a joke other streaming services are way better and not greedy. Well I been a customer since yall came out and I just canceled my account rather sign up with a different non-greedy streaming service bye netflix yall going to lose so much subs watch,1,533,Netflix allow account hack Netflix greedy AF not want share password family content provide not worth price cancel good show like one people not watch save money joke streaming service way well greedy customer you come cancel account sign different nongreedy streaming service bye netflix you go lose sub watch
"price going up AGAIN: My grandma passed away recently, and it was too painful to see her name everytime I logged in. So I decided to make a new account and transfer my profile. Either the directions on how to do so are complicated, or the more likely thing is I can’t read basic English. Anyways I created a new account before transferring the profile, therefore making it unable to transfer the profile. I called customer service and was only on hold for maybe 45 seconds. The gentleman named Sam that helped me was very understanding, and very quickly processed my refund for the account made by mistake, and walked me through how to properly sign up with the profile transfer. I am very impressed.",2,700,price go grandma pass away recently painful everytime log decide new account transfer profile direction complicated likely thing not read basic English Anyways create new account transfer profile make unable transfer profile call customer service hold maybe 45 second gentleman name Sam help understanding quickly process refund account mistake walk properly sign profile transfer impressed
"Just had to Lower my subscription and…: Few years ago, I was praising them for innovation, now I am cancelling my subscription after many years because they have nothing to offer. Even the originals that were solid they turned into complete garbage. I spend hours searching for something, anything and find nothing that is even a bit watchable. Every decision they made lately is one step closer to bankruptcy. What a shame. I never thought I will turn to other streaming services.",1,481,lower subscription year ago praise innovation cancel subscription year offer original solid turn complete garbage spend hour search find bit watchable decision lately step close bankruptcy shame think turn stream service
Tripe!: Netflix no longer works on my bell Fibe receiver.  We don’t have a smart tv.  Time to dump netflix,2,106,tripe Netflix long work bell Fibe receiver   not smart tv   Time dump netflix
"Tricked by Netflix into getting me off basic plan: Got in touch with customer services suggesting that their recent lack of streaming performance was due to the sudden clamp down on being ripped off so to speak, to which they acknowledged but replied with the text equivalent of *shrugs shoulders* So what's the point of viewing legally, if the quality is of the same standard of viewing illegally?",1,398,trick Netflix get basic plan get touch customer service suggest recent lack streaming performance sudden clamp rip speak acknowledge reply text equivalent shrug shoulder s point view legally quality standard view illegally
Poor customer service: Terrible experience. I asked them to delete both accounts months ago. Found out they only canceled one. I call to get it taken care of again then they need my card information over the phone to verify it’s my account. No you don’t. I received an email stating my account was canceled. We will see. I’ll be keeping an eye on my bank statements. Thanks for nothing Netflix.,1,394,poor customer service terrible experience ask delete account month ago find cancel take care need card information phone verify account not receive email state account cancel Ill keep eye bank statement thank Netflix
"Just had an email stating my plan is…: Huge dissapointment - It is all about quantity, not quality. Why do you need access to thousands of movies when you cannot watch any as it's such a rubbish. I have nothing against homosexuals, however if I want to wach a gay porn, I can access it on pornhub for free. On the top of it, all the good shows are being cancelled. It's a waste of time and there are much better platforms worth paying for.",1,439,email state plan huge dissapointment   quantity quality need access thousand movie watch rubbish homosexual want wach gay porn access pornhub free good show cancel waste time well platform worth pay
"1 star as I can’t give any lower…: I cancelled my Netflix subscription in February 2022 as I went onto my sister's family plan and shared the cost with her. I recently discovered that I have been being charged the monthly subscription fee since May 2022. I have just been told that somehow my account was restarted without my knowledge or authorisation, most likely because a device in our house was still logged in and someone opened it and pressed play on something and it automatically reactivated the account. Didn't require a password or credit card details to be entered to confirm or authorise the account to be restarted... nothing! Meanwhile we have logged out of that account on the TV etc and haven't been using it at all, which they can no doubt see on their system. I have just contacted Netflix to advise them that they have been incorrectly billing me and request a refund to be told they will only refund 1 of the 10 months that they have incorrectly charged me for. It's absolutely disgusting and deceptive behaviour and a serious security risk. Netflix's own system should automatically log every device out when an account gets cancelled and more importantly they should not have the ability to start changing someone’s card without authorisation by way of entering a password or credit card details. This is a massive security flaw and given the recent hacks of major companies in Australia like Optus, this represents a serious security vulnerability. I will never join Netflix again.",1,1505,1 star not low cancel Netflix subscription February 2022 go sister family plan share cost recently discover charge monthly subscription fee 2022 tell account restart knowledge authorisation likely device house log open press play automatically reactivate account not require password credit card detail enter confirm authorise account restart log account tv etc not doubt system contact Netflix advise incorrectly bill request refund tell refund 1 10 month incorrectly charge absolutely disgusting deceptive behaviour security risk Netflixs system automatically log device account gets cancel importantly ability start change someone card authorisation way enter password credit card detail massive security flaw give recent hack major company Australia like Optus represent security vulnerability join Netflix
"Continually locks up my smart TV!!!: Try and find an actual EMAIL ADDRESS for customer service. Go on, I'll wait. ***hours later*** I'm guessing any of the addresses you found either didn't work, got bounced back to you, or just sent you to the app to call or chat with support. I DON'T WANT TO _U_KING CALL OR CHAT!!! I just want the survey request spamming to stop. 14 freaking emails overnight... ALL IN A ROW!  Seriously, get your sh_t together and start respecting the needs of your customers.  Long term (like myself) or new customers alike deserve access to support by the method of their choosing. Don't make it so damned difficult. Here's your super simple solution. Re-implement your customer service @ Netflix.com",1,724,continually lock smart tv try find actual email address customer service Ill wait hour later m guess address find not work got bounce send app chat support dont want UKING CHAT want survey request spamme stop 14 freaking email overnight row   seriously sht start respect need customer   long term like new customer alike deserve access support method choosing not damned difficult here super simple solution Reimplement customer service   Netflixcom
"Tired of subtitles: Terrible. Came from turkey to uk after the earthquake to spend time with family. My Netflix doesn’t work at all. Went on live chat to be told no refunds, they won’t unblock it. I’d have to cancel my account, make a uk one, then cancel it when I go back to turkey next month and then make a new one again.  Got passed through to a manager after trying their hardest not to create a complaint case file. Then the manager just ended the chat.  Forget it Netflix, that’s the last you’ve had from me. I’ll never have a Netflix account again. Seems most big companies are like this now. They just do not care.",2,623,tired subtitle Terrible come turkey uk earthquake spend time family Netflix not work go live chat tell refund will not unblock d cancel account uk cancel turkey month new   Got pass manager try hard create complaint case file manager end chat   forget Netflix s ve Ill Netflix account big company like care
Netflix is a waste of money 💰 they…: In Selena the series I am very upset because the movie Selena with everything was right in the movie put the series why has things changed I don’t understand why in the series you got a change everything that’s going on with it because in the movie Selena starts off of course as a young girl singing her father notices then They start singing in a band and doing everything around the world right but tell me why in the Siri is there doing all this other crazy stuff that did not happen and it did not happen if you watch the movie all that stuff did not happen which means somebody’s adding an extra information that wasn’t there so how many somebody to fix it like today,1,710,Netflix waste money   Selena series upset movie Selena right movie series thing change not understand series get change s go movie Selena start course young girl singe father notice start singe band world right tell Siri crazy stuff happen happen watch movie stuff happen mean somebodys add extra information not somebody fix like today
"I keep getting a refund nearly every…: Netflix is a company who does not mind pulling the rug right out from under you. It will let you invest a lot of your time watching a program and getting invested only to cancel that whenever it's not working anymore. Designated survivor, Society, the ozarks, bloodline.. the list goes on and on. But designated Survivor I spent three seasons watching this only for it to be canceled with no ending whatsoever. This is my biggest problem with Netflix. Be careful what you watch and how much time you spend on any one of their series because they do not care about you at all",3,613,get refund nearly Netflix company mind pull rug right let invest lot time watch program getting invest cancel work anymore designate survivor Society ozark bloodline list go designate Survivor spend season watch cancel ending whatsoever big problem Netflix careful watch time spend series care
"Resolution drops when price goes up: I was a happy customer for many years.  Mindlessly accepting steep increases to the cost of service.  I always prepaid for my service using gift cards, as I liked the ""set it and forget it"" mentality.   Netflix has changed their terms of service and is no longer ""true love is password sharing..."" and will now charge an added fee for an additional user.  I do not accept the changes in terms, and accept that my only recourse is to cancel.  However they are holding me to the terms of the gift cards and won't refund the credit - yet refusing to defer the changes to the terms until the gift card is depleted.",1,647,resolution drop price go happy customer year   mindlessly accept steep increase cost service   prepaid service gift card like set forget mentality    Netflix change term service long true love password sharing charge add fee additional user   accept change term accept recourse cancel   hold term gift card will not refund credit   refuse defer change term gift card deplete
I enjoy the movies: Netflix Canada sucks. First they stopped IP sharing. Left us Canadians with nothing good to watch. Now they stopped password sharing or having family members on your account. I'm not paying 20$ a month plus 7.99 for each family member.. cancelled my netflix account. Disney plus and crave have way better content I cant even use Netflix on all my tvs in my house anymore even though I payed for the premium access.. I hope they bankrupt. Also pisses me off that this is happening in canada and not the US.. the US netflix get all the good shows. (Even the made in canada ones) and they don't have to pay extra for there kids to use. And they have cheaper rates..,4,682,enjoy movie Netflix Canada suck stop IP sharing leave Canadians good watch stop password sharing have family member account m pay 20 month plus 799 family member cancel netflix account Disney plus crave way well content not use Netflix tv house anymore pay premium access hope bankrupt piss happen canada netflix good show canada one not pay extra kid use cheap rate
"Wish I could leave 0 stars: Absolutely weak, netflix makes me the most angry when they continue to release new seasons and then cancel them after cliffhangers.  Freaking commit to something you corporate losers.  Bahhhhhhh!",1,223,wish leave 0 star absolutely weak netflix make angry continue release new season cancel cliffhanger   freaking commit corporate loser   Bahhhhhhh
"Unauthorised Payment: Get rid of netflix total rubbish full of foreign films, absolute waste of money I'd rather read a good book",1,129,Unauthorised Payment rid netflix total rubbish foreign film absolute waste money d read good book
If I could give zero stars I would: The worst! They’ve changed my plan to a 24.99$ a month! Are you serious!  Canceling  Hope you go down like blockbuster.,1,155,zero star bad ve change plan 2499 month   Canceling   Hope like blockbuster
"Charged for a cancelled service: Maybe you should check your employers,i had recently a problem,and one of the agents named Louver Reever said i cannot be helped,tho i had issues signin in. Quote:,,To keep the account secure,i am unable to make changes at this time,,.How to keep the account secure when i couldn't even log? Why Louver? You where busy with the coffee and did not wanted to bother and help a customer? At the end we pay for a service,and you get a salary to help customers.Second agent helped me to go thru all the steps in order to have access.My opinion is to review your staff and how they do they'r job",1,622,charge cancel service maybe check employersi recently problemand agent name Louver Reever say helpedtho issue signin QuoteTo account securei unable change timehow account secure not log Louver busy coffee want bother help customer end pay serviceand salary help customerssecond agent help step order accessMy opinion review staff theyr job
"Terrible: They're liars that can't stick to their word. Don't waste your time, their catalog is garbage anyways. You want 20 bucks a month so I can watch trash like ""Tallgirl"" in 4k? Hilarious. Taking away password sharing was the last straw for me. I hope they fail.",1,267,terrible liar not stick word not waste time catalog garbage anyways want 20 buck month watch trash like tallgirl 4k Hilarious take away password sharing straw hope fail
Netflix allowed my account to be hacked.: Worst customer service and horrible technical team to help a with multiple errors. No Follow up and no proper approach.,1,161,Netflix allow account hack bad customer service horrible technical team help multiple error follow proper approach
"price going up AGAIN: Random profile appeared on my account and somehow made itself the primary profile so can't delete. My profile was the primary, obviously. Contacted Netflix and they tell me there is nothing they can do to change it, nor can they delete it. Now, somehow someone has managed to get into my account, add a profile and make it the primary yet Netflix don't have the ability to do this? This does nothing other than make me worry about their security, and wonder how bad their setup is if they don't have the ability to rectify this from their side. There has definitely been some form of security breach and Netflix can't, or just won't do anything about it. Absolutely disgraceful.",2,700,price go Random profile appear account primary profile not delete profile primary obviously contact Netflix tell change delete manage account add profile primary Netflix not ability worry security wonder bad setup not ability rectify definitely form security breach Netflix not will not absolutely disgraceful
Just had to Lower my subscription and…: I recently signed up for the service and the interface was confusing and slow to load. The selection of movies and TV shows was also limited and I had difficulty finding the content I wanted. The customer service was unhelpful and unresponsive.,1,284,lower subscription recently sign service interface confusing slow load selection movie tv show limited difficulty find content want customer service unhelpful unresponsive
"Tripe!: Netflix in 2017: ""Love is sharing a password"". Netflix in 2023: ""We are losing money because of password sharing"". Netflix is run by a bunch of stupid profit oriented managers. You are EARNING money thanks to password sharing. Canceling my subscription. Hope you go bankrupt you greedy ****.",2,299,tripe Netflix 2017 Love share password Netflix 2023 lose money password share Netflix run bunch stupid profit orient manager earn money thank password share cancel subscription Hope bankrupt greedy
Tricked by Netflix into getting me off basic plan: Changing policies when in 2017 they said: love is sharing a password. So no more love from Netflix. Good bye Netflix.,1,168,trick Netflix get basic plan change policy 2017 say love share password love Netflix Good bye Netflix
Poor customer service: Very poor selection of movies .  Nothing to watch lately . I am canceling .,1,98,poor customer service poor selection movie    watch lately   cancel
Just had an email stating my plan is…: If an ahh could be goofy Netflix would be the goofiest ahh. Sharing is caring you goofy goobers 🖕,1,136,email state plan ahh goofy Netflix goofy ahh Sharing care goofy goober
"1 star as I can’t give any lower…: Netflix, Very poor service for the money, old movies and series, documentarys are absolutely crap, Netflix says just added but it been there for years, I will shutting it down this month,  amazon prime here I come.",1,249,1 star not low Netflix poor service money old movie series documentary absolutely crap Netflix say add year shut month   amazon prime come
"Continually locks up my smart TV!!!: So the basic run down for Netflix is this. We pay for the service, watch movies, shows and other things like documentaries, anime series etc. The problem is this. The recommendation section is always wonky. It suggests odd shows I'd never pick. Second if you have Netflix for over a month and your not binge watching past seasons of bigger shows you find yourself pressed to see any new content to watch that isnt now considered a repeat. Then there's the removal of a series midway or almost at the finale. Where they go, why did you load it in there only to remove it!? 3rd. Netflix lost me during the what I'm going to call the Leftist Movement. With the sponsoring of BLM which is a terrorist organization set on destroying our way of life. As a company you wonder where over 2 million subscribers went, and now you want to up the price because people are watching Netflix? And your concerned they are not paying you!? Since day 1 we have always shared our Netflix which is why we opted for more than. 2 devices when choosing a plan. Don't need Netflix can find anything on the web for free. No it's not streamlined on a app in a pretty package but anyone with some sense and a VPN can find ANYTHING they wish to watch. Hulu, Disney+, Amazon, Peacock, all offer good deals. Putlocker streams all  content for free, has t.v., movies, documentary, and they don't push political agendas in our faces. Stick to streaming content and let everyone else choose how, when, where to watch it. Like it used to be. I haven't subscribed since 2020 and don't plan to again. Just wanted to make my opinion heard.",1,1639,continually lock smart tv basic run Netflix pay service watch movie show thing like documentary anime series etc problem recommendation section wonky suggest odd show d pick Second Netflix month binge watch past season big show find press new content watch not consider repeat s removal series midway finale load remove 3rd Netflix lose m go Leftist Movement sponsoring BLM terrorist organization set destroy way life company wonder 2 million subscriber go want price people watch Netflix concerned pay day 1 share Netflix opt 2 device choose plan not need Netflix find web free streamline app pretty package sense vpn find wish watch Hulu Disney Amazon Peacock offer good deal Putlocker stream   content free tv movie documentary not push political agenda face Stick stream content let choose watch like not subscribe 2020 not plan want opinion hear
Tired of subtitles: love your series and quality of service you provide. nice job!,2,82,tired subtitle love series quality service provide nice job
Netflix is a waste of money 💰 they…: I got in touch with Netflix recently about a dual UPI payment. These guys aren’t even well versed with how Google pay works. I made a manual payment through Google pay. The agent didn’t want to understand a thing and kept on telling me that it was an authorisation payment. BUT IT WASN’T. It was a manual payment made. Rubbish customer service.,1,381,Netflix waste money   get touch Netflix recently dual UPI payment guy not verse Google pay work manual payment Google pay agent not want understand thing keep tell authorisation payment WASNT manual payment rubbish customer service
"I keep getting a refund nearly every…: 1. freezing sloppy playback service, it worked perfectly yesterday on the EXACT same fu__ing device im streaming it on rn which is my laptop and now its freezing even tho it buffered way ahead 2. download speed is fu__ed up so, after streaming didnt work i decided to download the movie- ohhh hey u wanna download from ur browser? well no, u gotta download their bitchass app from the microsoft store and THEN u can download. oh but whats that? u paid money but still getting sloppy download speeds? welcome to netflix. 3. fu__ed up image quality idk why but they just CANT let u choose between different resolutions via a dropdown menu in the player nahhh, thatd be way too simple and convinient. instead they hide that sh_t in the app settings, i mean why make it easy when u can f_ck it all up, right?? oh and, ontop of that their highest image quality got topped by a random ass website where i tried to watch the movie instead, thats a mf joke but whatever, thats netflix, thats my experience 5. no in-app subtitle settings oh and their selection of old movies is generally fu__ed",3,1124,get refund nearly 1 freeze sloppy playback service work perfectly yesterday EXACT fuing device m stream rn laptop freezing tho buffer way ahead 2 download speed fue streaming not work decide download movie ohhh hey u wanna download ur browser u get to download bitchass app microsoft store u download oh s u pay money get sloppy download speed welcome netflix 3 fue image quality idk CANT let u choose different resolution dropdown menu player nahhh d way simple convinient instead hide sht app setting mean easy u fck right oh ontop high image quality got top random ass website try watch movie instead s mf joke s netflix s experience 5 inapp subtitle setting oh selection old movie generally fue
